
Rk	Name	Age	Tm	W	L	W-L%	ERA	G	GS
▼	GF	CG	SHO	SV	IP	H	R	ER	HR	BB	IBB	SO	HBP	BK	WP	BF	ERA+	FIP	WHIP	H9	HR9	BB9	SO9	SO/W
128	Carlos Rodriguez	22	MIL	0	3	.000	7.30	3	3	0	0	0	0	12.1	19	11	10	3	3	0	9	0	0	0	57	59	5.61	1.784	13.9	2.2	2.2	6.6	3.00
129	Brent Suter*	34	CIN	0	0		3.68	38	3	17	0	0	0	51.1	51	23	21	8	10	0	41	2	0	2	214	117	4.31	1.188	8.9	1.4	1.8	7.2	4.10
130	Rob Zastryzny*	32	MIL	1	0	1.000	1.17	9	3	2	0	0	0	7.2	4	1	1	0	1	0	5	1	0	0	29	373	2.66	0.652	4.7	0.0	1.2	5.9	5.00
131	Kolby Allard*	26	PHI	1	0	1.000	3.46	3	2	0	0	0	0	13.0	14	5	5	3	2	0	8	0	0	0	50	121	5.41	1.231	9.7	2.1	1.4	5.5	4.00
132	Shaun Anderson	29	MIA	0	2	.000	10.97	3	2	1	0	0	0	10.2	25	17	13	3	0	0	6	1	0	2	59	42	5.99	2.344	21.1	2.5	0.0	5.1	
133	Aaron Ashby*	26	MIL	0	2	.000	6.23	2	2	0	0	0	0	8.2	8	10	6	2	7	0	5	0	0	0	43	70	7.45	1.731	8.3	2.1	7.3	5.2	0.71
134	Jack Flaherty	28	LAD	2	0	1.000	3.09	2	2	0	0	0	0	11.2	14	4	4	2	2	0	17	0	0	0	52	133	3.01	1.371	10.8	1.5	1.5	13.1	8.50
135	Josiah Gray	26	WSN	0	2	.000	14.04	2	2	0	0	0	0	8.1	15	13	13	2	5	0	9	0	0	0	44	30	5.94	2.400	16.2	2.2	5.4	9.7	1.80
136	Michael Grove	27	LAD	4	3	.571	4.79	32	2	7	0	0	0	41.1	36	22	22	4	13	0	49	6	0	1	174	84	3.44	1.185	7.8	0.9	2.8	10.7	3.77
137	Bryan Hoeing	27	TOT	2	2	.500	2.08	21	2	3	0	0	0	39.0	31	10	9	2	11	0	31	0	0	7	154	213	3.10	1.077	7.2	0.5	2.5	7.2	2.82
138	Spencer Howard	27	SFG	1	1	.500	5.63	7	2	1	0	0	0	24.0	33	16	15	2	11	0	21	0	0	0	114	70	3.89	1.833	12.4	0.8	4.1	7.9	1.91
139	Brandon Hughes*	28	ARI	0	0		10.29	12	2	3	0	0	0	14.0	23	16	16	8	7	0	18	2	0	1	74	41	9.96	2.143	14.8	5.1	4.5	11.6	2.57
140	Orion Kerkering	23	PHI	2	2	.500	2.36	46	2	6	0	0	0	45.2	39	15	12	1	12	0	52	6	0	1	187	173	2.37	1.117	7.7	0.2	2.4	10.2	4.33
