Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,PlayerAdditional
109,Zack Gelof,24,OAK,AL,1.0,98,392,354,43,70,11,2,15,39,15,3,30,137,.198,.267,.367,.634,80,.285,80,130,4,4,2,2,0,4/H,0,gelofza01
110,Royce Lewis,25,MIN,AL,1.6,44,178,156,29,43,10,0,15,35,0,0,20,36,.276,.354,.628,.982,167,.402,161,98,3,0,0,2,2,5D/H,0,lewisro02
111,Luke Raley,29,SEA,AL,1.9,104,336,305,43,71,12,2,15,38,9,2,16,102,.233,.301,.433,.734,112,.328,116,132,2,14,1,0,0,793H/8D,0,raleylu01
112,Jesús Sánchez,26,MIA,NL,0.9,112,398,368,41,89,18,1,15,48,9,1,24,103,.242,.295,.418,.713,93,.318,91,154,9,4,1,1,2,9HD/7,0,sanchje02
113,Daulton Varsho,27,TOR,AL,4.4,114,428,380,60,79,18,6,15,51,10,2,43,112,.208,.293,.405,.698,96,.305,93,154,2,3,1,1,1,87/H9D,0,varshda01
114,Wilyer Abreu,25,BOS,AL,2.7,95,331,297,50,80,25,2,14,48,7,2,30,95,.269,.335,.508,.844,129,.364,129,151,4,1,0,3,0,9H/78,0,abreuwi02
115,Tyler Fitzgerald,26,SFG,NL,2.9,61,200,183,37,58,11,2,14,27,14,2,13,56,.317,.370,.628,.998,181,.434,182,115,2,3,0,1,0,6H/8417D3,0,fitzgty01
116,Luis García Jr.,24,WSN,NL,2.2,107,412,390,46,114,21,1,14,59,19,3,21,65,.292,.328,.459,.787,124,.347,123,179,9,0,0,1,2,4H/D,0,garcilu04
117,Lourdes Gurriel Jr.,30,ARI,NL,1.2,111,466,439,58,119,18,1,14,60,6,1,20,90,.271,.307,.412,.719,100,.314,96,181,14,4,0,3,1,7/HD3,0,gurrilo01
118,Kyle Higashioka,34,SDP,NL,1.1,58,186,172,22,38,5,1,14,39,1,0,12,56,.221,.270,.506,.776,113,.338,116,87,3,0,1,1,0,2/H,0,higasky01
